Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,gender,tenure,TenureCategory,TotalSpend,HasInternet,NumServices
0,2,1,2,2,-0.2936138101472276,0,0,0,0,0,0,0,1,1,0,0,-0.4391028986474318,0,0.10030486952795062,1,-0.0980142453880093,0,1
0,0,1,0,0,-0.9390523976382245,2,1,2,1,0,0,1,0,2,0,2,-0.5613072747039799,0,-0.15146438129521894,1,-0.613746124746693,1,3
0,2,1,1,1,-0.3326162488565764,0,0,2,0,1,1,0,0,2,0,1,-1.1077622556795934,0,1.3591511236437983,0,0.6960459879353419,1,2
1,0,0,1,1,-0.9238656073443188,1,0,0,0,1,2,0,0,0,0,2,-0.8469335247250922,0,-0.705356733106192,1,-0.8621383178980114,1,1
0,2,0,1,2,0.8554049373166918,0,1,1,1,1,3,1,1,0,2,1,0.7704463590678845,1,1.661274224631602,0,2.2149082079478606,0,1
0,1,1,2,0,-0.30224266826876495,0,0,1,1,0,1,1,0,1,2,0,-0.15198464860525895,0,0.10030486952795062,1,-0.1033658692957862,1,2
1,1,1,2,1,-1.06952073243587,0,0,0,1,0,3,0,0,1,2,1,1.4825931284786062,1,-1.5110183357403344,2,-1.251593828413295,1,2
1,0,1,1,1,0.4149880187934235,0,1,0,0,1,0,0,1,1,0,2,0.35944423561925287,0,1.661274224631602,0,1.7246445695451613,1,1
0,2,0,0,1,-1.528230830176798,1,1,2,0,1,2,0,1,0,0,0,1.1178110912438997,1,0.15065871969258451,1,-0.8500079703737171,1,1
0,0,1,2,0,-0.5714630416607316,0,0,1,1,1,3,1,1,0,1,2,0.5574493934944434,0,0.7549049216681915,0,0.10577559302013481,1,2
1,2,1,1,1,0.7363266952394757,0,2,2,1,1,2,1,0,1,2,0,-1.2278802252895782,0,-1.6620798862342363,2,-1.199757175915813,1,3
0,1,1,0,0,-0.1403652899087233,0,1,2,1,0,1,1,0,1,0,1,1.631745258926235,0,-1.813141436728138,2,-1.36288565031492,1,1
0,2,0,0,2,-0.3971601076056763,2,2,0,0,0,3,1,0,0,0,1,-1.1893315723390208,0,-0.10111053113058502,1,-0.28904800793802665,0,1
0,1,0,2,2,-0.16763248157278168,1,1,0,1,0,0,0,1,2,0,2,-0.015682069141148974,1,1.3087972734791644,0,0.8286070843422337,0,3
0,1,0,2,0,-1.4281360759669641,0,0,2,1,1,0,1,1,1,1,2,0.8059990440617132,1,-0.25217208162448673,1,-0.9088044783738258,1,3
0,0,0,1,0,0.4705578650961243,2,0,0,1,1,3,0,0,0,2,0,1.6677686818946234,1,0.7045510715035576,0,0.921955871828964,1,1
0,1,0,0,0,-0.1786774199683493,2,0,0,0,0,0,1,1,2,2,2,1.4317574165310791,0,-0.705356733106192,1,-0.5895787400636758,1,3
0,0,1,2,2,1.4135194806177305,0,0,1,0,1,3,1,1,0,2,1,1.103194278203349,1,1.2584434233145305,0,2.3522061776187644,0,2
1,1,1,0,2,-0.2880913409494435,0,0,1,0,0,1,1,1,1,0,1,-1.2538466106828492,1,-0.8060644334354597,1,-0.6964739970933733,0,0
0,0,1,2,1,-0.25081467386440204,0,2,2,1,1,3,0,1,0,2,2,-0.5967562377712109,0,1.2584434233145305,0,0.7112391109883945,1,5
0,0,0,2,2,1.1194479958357362,0,2,2,1,1,3,0,0,0,1,2,-1.1954232408742067,1,-0.25217208162448673,1,0.3876168078063172,0,4
0,2,1,2,1,0.8592016348901682,1,0,2,0,0,2,1,0,0,2,0,0.36107586131073366,0,-0.10111053113058502,1,0.41023084934482046,1,3
0,1,1,2,1,-1.3076772165903021,2,1,0,1,0,1,1,1,2,0,0,-0.009191470119048327,0,0.20101256985721844,1,-0.6924890955989672,1,2
0,0,0,0,1,1.5947255011700159,1,2,2,0,1,2,1,1,1,1,1,-1.1194389510315836,0,1.006674172491361,0,2.213969615447112,1,2
0,2,0,2,1,1.3486304675437695,2,1,1,1,1,3,0,0,0,1,0,-1.421170024809438,0,-0.9571259839293615,1,-0.3282822722383231,1,1
0,2,1,1,0,1.3151504980322044,0,1,0,0,0,2,1,0,2,1,2,1.595279023117372,0,-1.3599567852464327,2,-0.8093356286746127,1,2
1,0,0,0,0,-0.011622726735385235,0,2,1,1,0,1,0,0,2,2,2,-1.6847194616846966,0,0.8556126219974592,0,0.6443959561690029,1,4
1,2,1,2,1,-0.3467675761758979,0,1,2,1,0,0,0,1,0,1,1,0.019383920658644214,1,-0.8060644334354597,1,-0.7160691738633872,1,2
